,Full_name,Drug_Type,Other_Details_summary
174,Aplazar Tablet,Tablet,"Before taking this medicine, it is important to tell your doctor if you are taking any other medicines for any health conditions. While you are taking this medicine, your doctor may advise for regular monitoring of serum calcium levels. However, it is important to take regular doctor's consultation to know the effects and affects of it on your body. Thus, it delays the risk of undergoing long-term dialysis and reduces the urea level in the blood. But, it is important to take it in a dose and duration as advised by the doctor. During the treatment, alcohol consumption may be indulged only with doctor's advice. It is better to take it along with a low-protein diet to get the best of the medicine."
175,Afoglip M  500 Tablet,Tablet,"The most common side effects of taking this medicine include diarrhea, nausea, vomiting, upset stomach, headache, and sore throat. The dose you are given will depend on your condition, blood sugar levels and what other medicines you are taking. Tablet ER is a combination of two medicines that control high blood sugar levels in people with type 2 diabetes mellitus. Some other medicines can affect this one so tell your doctor about all the medicines you are taking to make sure you are safe. Your doctor will check your kidney function and blood sugar levels before and during treatment. This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke. It is important to stay on the diet and exercise program recommended by your doctor while taking this medicine."
176,Azibact 500 Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
177,Amaryl MV 2mg Tablet,Tablet,"Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you."
178,Ascoril Flu Syrup,Syrup,"It relieves allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver disease. The most common side effects are nausea, vomiting, and headache. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
179,P Drops,Drops,"The most common side effects are nausea, vomiting, diarrhea, stomach pain, upset stomach, headache, rash, palpitations, tremor, and increased heart rate. It also provides relief from runny nose, sneezing, itching, and watery eyes. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you."
180,Azulix 1 MF Tablet,Tablet,"Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache and upper respiratory tract infection. if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled."
181,Amlopres 5 Tablet,Tablet,"The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, headache, and unusual beating of the heart (palpitations). You also need to tell your doctor what other medicines you are taking, especially those used to treat high blood pressure or heart conditions. Before taking it, let your doctor know if you have any liver, heart or kidney problems. Keeping yourself active with regular exercise, reducing your weight, and eating a healthy diet will also help control your blood pressure. It is used to treat high blood pressure (hypertension) and prevent angina (heart-related chest pain). You can take it at any time of the day, with or without food, but it is best to take it at the same time each day. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms."
183,Acitrom 3 Tablet,Tablet,"Let your doctor know immediately if you see pinpoint rash or blood in your vomits, urine, or stool. Tablet is an oral anticoagulant which helps to prevent formation of harmful blood clots in the legs, lungs, brain and heart. Also, let your doctor know if you are pregnant or breastfeeding and about all the other medications that you are taking regularly. Before taking it, you must inform the doctor if you are suffering from any kidney or liver disease. If you are going under any surgery or dental treatment then you may need to stop this medicine for some time but only after consulting with your doctor. You should take this medicine regularly to get the most benefit, even if you feel fine. It is used for deep vein thrombosis, pulmonary embolism and stroke prevention."
184,Alcros 100 Capsule,Capsule,"Get emergency medical help if you have signs of an allergic reaction like severe skin rash, tingling, difficulty breathing, swelling of your face, lips, tongue, or throat.  The most common side effects of this medicine include nausea, common cold, cough, blurred vision, and a problem with menstrual periods. It works by stopping the growth of fungus and is used to treat infections of the mouth, throat, vagina and other parts of the body including fingernails and toenails. If you stop the treatment too early, the infection may return and if you miss doses you can increase your risk of infections that are resistant to further treatment. If your course of treatment is for more than a month, your doctor may want to check your liver by testing your blood. This medicine may make you dizzy or cause blurred vision so do not drive or operate machines until it is safe. Alcros 100 Capsule should be taken in the dose and duration as prescribed by your doctor."
185,Alex P Syrup,Syrup,"Alex P Syrup is used in the treatment of common cold symptoms like runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness. Before taking this medicine, you should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. The most common side effects are nausea, vomiting, and headache. You should keep taking this medicine for as long as your doctor recommends. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
186,Andial 2mg Tablet,Tablet,"Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Diarrhea can cause water loss and electrolyte imbalance, so drink plenty of fluids to help keep yourself hydrated. The most common side effects are headache, nausea, and constipation. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness. 2mg Tablet is taken with or without food in a dose and duration as advised by the doctor."
187,Advent Forte 457mg Syrup,Syrup,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
188,Alfusin Tablet,Tablet,"Some common side effects of this medicine are upper respiratory tract infection, headache, and tiredness. Patients with liver or kidney disease must be cautious while receiving the prescription, and they must receive regular follow-ups as per the doctor’s advice. Try to urinate as soon as you feel the urge, however, never strain or push to empty your bladder. Before receiving the treatment, inform your doctor if you are on any medication for any other health condition. If you are pregnant or breastfeeding, tell your doctor prior to the treatment. It may also lead to blurry vision or dizziness, so it is advised to avoid driving while on the medication. If any of the side effects persist or bother you, you must consult the doctor without delay."
189,Axcer  90mg Tablet,Tablet,"It helps to prevent serious heart-related problems like having another heart attack, stroke, or formation of blood clots in stents in such people. mg Tablet is also used to treat people with a recent heart attack or severe heart-related chest pain (unstable angina), who have undergone stenting of the heart. Some people may develop mild breathlessness after taking this medicine, however, this usually resolves on its own with continued treatment. If you stop taking this medicine, it may increase your chances of having another heart attack or stroke. Your doctor will also prescribe aspirin, another antiplatelet medicine, along with this medicine. This helps to prevent a heart attack or stroke in people with heart disease. If you cut or injure yourself, it may take longer than usual for the bleeding to stop."
190,Aztolet  10 Tablet,Tablet,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of the skin, muscle pain or dark urine. This medicine reduces the ""bad"" cholesterol (LDL) and triglycerides (fats) levels."
191,Alerid Syrup,Syrup,"It relieves watery eyes, runny nose, sneezing, and itching. You may need this medicine only on days you have symptoms, but if you are taking it to prevent symptoms you should take it regularly. It is used to treat various allergic conditions such as hay fever, conjunctivitis and some skin reactions, and reactions to bites and stings. You should also talk to your doctor before using this medicine if you are pregnant or breastfeeding, although it is not thought to be harmful. If you miss doses or stop taking it earlier than advised, your symptoms may come back. Before taking it, tell your doctor if you have any kidney problems or epilepsy. Some other medicines can interact with this medicine so let your healthcare team know what else you are taking."
192,Acnetor AD Gel,Gel,"Side effects like minor itching, burning, or redness of the skin and oily skin may be seen in some people. Inform your doctor if you have any problems with your bowels (intestines), or if you are using any other medicines to treat skin conditions. This helps to prevent pimples, blackheads, and whiteheads on the skin. It may take several weeks for your symptoms to improve, but you should keep using this medicine regularly. You should normally wash and dry the affected area before applying a thin layer of the medicine. Avoid any contact with your eyes, nose or mouth. Consult your doctor about using this medicine if you are pregnant or breastfeeding."
193,Anaspas Tablet,Tablet,"The most common side effects are nausea, vomiting, heartburn, stomach pain, indigestion, loss of appetite, and diarrhea. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It works effectively to reduce abdominal pain, bloating, discomfort and cramps by relaxing the muscles of the stomach and gut. It may also cause sleepiness and dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you. You should keep taking this medicine for as long as your doctor recommends."
194,All 9 NVP Tablet,Tablet,"All 9 NVP Tablet has all active form of vitamins which helps in preventing neural tube defects, pregnancy-related anemia and associated complications of pregnancy due to elevated homocysteine levels. If you have symptoms such as nausea or vomiting or any other symptoms which you think can be due to this medicine, please consult your doctor. All 9 NVP Tablet is a prescription medicine that has a combination of medicines that is used to treat nausea and vomiting during pregnancy. Inform your doctor if you are taking any medicine or have any known allergy from this medicine. Inform your doctor if you are pregnant, breastfeeding or suffering from any other disease. It helps in controlling the feeling of nausea and vomiting. It should be used in the dose and duration as advised by the doctor."
195,Azmarda 50mg Tablet,Tablet,"Before taking this medicine, tell your doctor if you are taking any other medicines for blood pressure or heart conditions or if you have kidney or liver disease. Your dose, and how often you take it, will be decided by your doctor and may change depending on how well you respond to the medicine. Also let your doctor know all other medications you are using as they may affect, or be affected by, this medicine. Keep taking the tablets regularly, as they have been prescribed, and try not to miss doses to get the most benefit. To reduce the risk of dizziness, try getting up slowly from a sitting or lying position. Some of the common side effects include cough, dizziness and feeling lightheaded. If these or other side effects are severe or do not go away, tell your doctor."
196,Aztor Asp 75 Capsule,Capsule,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). It lowers the ""bad"" cholesterol (LDL), triglycerides and raises the ""good"" cholesterol (HDL) levels in the body. Abdominal pain, indigestion, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of skin, muscle pain or dark urine."
197,2mg Tablet,Tablet,"Some common side effects of this medicine include weakness, drug withdrawal syndrome, anxiety, nervousness, dizziness, headache, sleepiness, diarrhea, nausea, vomiting, and abdominal pain. To make it sure it is safe for you, before taking this medicine, let your doctor know if you have any medical conditions or disorders. If any of these side effects do not resolve with time or get worse, you should let your doctor know. You should continue taking this medicine regularly until the doctor tells you it is alright to stop. It helps to prevent withdrawal symptoms that may be caused due to withdrawal of other opioids. The medicine may be a part of your treatment which could include receiving social and psychological support. Your doctor may be able to suggest ways of preventing or reducing the symptoms."
198, Solution,Solution,"If this medicine gets into the bloodstream it can cause side effects related to low blood pressure such as chest pain, rapid heartbeat and dizziness, swollen hands and feet. Anasure 5% Solution should only be applied directly to the scalp area in the amount, and in the way, specified on the label or by your doctor. It is used to promote hair growth after hereditary hair loss (male pattern baldness). It may take several months before you notice any hair growth and the first growth may be soft, colourless and barely visible. The most common are itching or irritation of the scalp and unwanted hair growth in other places (not your scalp). If you get it in your eyes, mouth or broken skin, rinse thoroughly with plenty of water. It is not used for sudden, patchy or unexplained hair loss."
199,D Syrup,Syrup,"It relieves allergic symptoms like runny nose, watery eyes, sneezing, throat irritation. Before taking it, you should tell your doctor if you have liver diseases so that your doctor can prescribe a suitable dose for you. This medicine may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends. The most common side effects are nausea, upset stomach, and rash."
200,Acotrust  Tablet,Tablet,"Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. Before taking this medicine, you should let your doctor know if you have liver and kidney problems. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends. Lifestyle modifications like reducing smoking, increasing exercise and a healthy diet will help you to get better results. Tablet is taken before meals in a dose and duration as advised by the doctor. Contact your doctor straight away if you are at all concerned about any of these side effects."
201,F Tablet,Tablet,"Nausea, stomach pain, constipation, headache, flatulence (excessive gas), and muscle pain are some of the common side effects of this medicine. This medicine should not be used in conditions such as liver disease (eg. abnormal blood tests for liver function, persistent yellowness of eyes, etc.). This medicine is only one part of a treatment program which should also include a healthy low-fat diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Before taking it, let your doctor know if you have any kidney-related problems or if you are pregnant, planning a pregnancy, or breastfeeding. Consult your doctor if they persist or if you notice any yellowing of your eyes, unusual bleeding or bruising or get repeated, severe, or unexplained muscle pains. It is used to lower the levels of lipids known as cholesterol and triglycerides in the blood when lifestyle changes (eg. low-fat diet) on their own have failed. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels."
202,MR Tablet,Tablet,"Using this medicine may cause common side effects such as nausea, vomiting, heartburn, stomach pain, diarrhea, and loss of appetite. It works by blocking the release of certain chemical messengers that cause pain, inflammation, and fever. Before using the medicine, you should tell your doctor if you have any other medical conditions or disorders. If any of these side effects do not resolve with time or get worse, you should let your doctor know. To make sure it is safe, you should let your doctor know all the other medicines you are taking. Also, tell your doctor if you have any problems with the liver or kidneys. You should keep taking the medicine even if you feel better until the doctor says it is alright to stop using it."
204,Actis C 2 Tablet,Tablet,"Using of this medicine may cause few common side effects such as nausea, vomiting, constipation, heartburn, and indigestion. If you experienced any such side effects that does not resolve with time or get worse, you should let your doctor know. Before taking it, let your doctor know if you have any medical conditions or disorders. Let your doctor also know all the other medicines you are taking. Tablet is a medicine used in the treatment of arthralgia (joint pain). It reduces friction in the joints and also relieves pain and inflammation in conditions such as osteoarthritis. Your doctor may help with ways to reduce or prevent them."
205,AB Phylline N Tablet,Tablet,"The most common side effects are vomiting, heartburn, stomach upset, rash, itching, breathing difficulty, and nasal inflammation. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver or kidney disease. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
206,Admenta 10 Tablet,Tablet,"Some common side effects of this medicine include headache, confusion, sleepiness, abnormal liver function tests, balance disorder and shortness of breath. Remember to inform the doctor if you have a history of seizures, kidney disease, heart disease, or liver disease. It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day to maintain a consistent level of medicine in the blood. This medicine may cause diarrhea, so drink plenty of fluids to keep yourself hydrated. If you have missed a dose, take it as soon as you remember. This medicine works by blocking a chemical messenger involved in the transmission of nerve signals."
208,Aziwok 500 Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
209,Actibile 300 Tablet,Tablet,"The most common side effects are abdominal pain, diarrhea, hair loss, itching, nausea, and rash. During the treatment, you may need ultrasound scans, or frequent blood tests to check your liver function. 300 Tablet is a medicine used to dissolve certain types of gallstones, to prevent them from forming and to treat a type of liver disease called primary biliary cirrhosis. If you are worried about them, or they do not go away, let your doctor know. Even if the gallstones completely dissolve, the treatment should still be continued for several weeks or months. Women who use this medicine for dissolving gallstones should stop using the birth control pill because the hormones present in it can increase the production of gallstones. Using this medicine can reduce or increase the effect of some other medicines so tell your doctor all other medicines you are taking."
210,5 Tablet,Tablet,"The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, and headache. Asomex 2.5 Tablet is a medicine used to treat high blood pressure (hypertension) and to prevent angina (heart-related chest pain). You also need to tell your doctor what other medicines you are taking – especially those used to treat high blood pressure or heart conditions. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. You can take it at any time of day, with or without food, but it is best to take it at the same time each day. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. If any of these bother you, or get worse, or won't go away."
211,Augmentin 375 Tablet,Tablet,"It is used to treat infections of the lungs (e.g., pneumonia), ear, nasal sinus, urinary tract, skin and soft tissue. You should also let your healthcare team know about all other medicines you are taking as they may affect, or be affected by, this medicine. The most common side effects of this medicine include vomiting, nausea, and diarrhea. Before taking it, let your doctor know if you are allergic to any antibiotics or have any kidney or liver problems. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. If you stop taking it early, some bacteria may survive and the infection may come back or worsen. Do not stop taking it until you have finished, even when you feel better."
212,Flo SR Tablet,Tablet,"The most common side effects of this medicine include nausea, headache, vomiting, and abdominal upset or discomfort. Before taking this medicine, let your doctor if you have kidney or liver disease or if you have heart-related problems. It does not work immediately or prevent the already started breathing trouble, hence always carry your medical inhaler with you for an emergency. If these bother you or appear serious, let your doctor know. It helps in relaxing the muscles of the air passages, thus widening it and making it easier to breathe. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Generally, it is advised not to consume alcohol or do not smoke while on treatment."
213,Airz Capsule,Capsule,"This medicine helps the muscles around the lungs to stay relaxed and reduces symptoms of diseases like coughing, chest tightness and shortness of breath. The most common side effects are runny nose, upper respiratory tract infection, and sore throat. It is important that you take the lowest dose needed to effectively control your chronic obstructive pulmonary disease (COPD). If you stop taking it your chronic obstructive pulmonary disease (COPD) may get worse. This medicine must be used regularly to be effective, so go on taking it even if you do not have any symptoms. Airz Capsule is used to treat Chronic obstructive pulmonary disease (COPD). If you get these, do not stop taking it but do talk to your doctor."
214,SR Tablet,Tablet,"Take this medicine in the dose and duration advised by your doctor as this is a habit-forming medicine. It is important to inform your doctor if you develop any unusual changes in mood or behavior, new or worsening depression, or suicidal thoughts. This medicine may cause weight gain and to control it, you should exercise regularly and take a balanced diet. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. This medicine also protects nerve fibers and heal damaged nerve cells. If you miss a dose of this medicine, take it as soon as you remember. It is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body."
215,1500mcg Tablet,Tablet,"Some common side effects of this medicine include constipation, dry mouth, difficulty in urination, drowsiness, blurred vision, and increased heart rate. This medicine can also lead to weight gain, eat a healthy balanced diet, avoid snacking with high-calorie food, and exercise regularly. Inform your doctor if you develop any unusual changes in mood or behavior, new or worsening depression, or suicidal thoughts or behavior. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. If you miss a dose of this medicine, take it as soon as you remember. It works by protecting the nerve fibers against damage, repairing the damaged nerves."
216,Ambrolite Levo Syrup,Syrup,"The most common side effects are nausea, diarrhea, stomach pain, vomiting, muscle cramp, headache, skin rash, and increased heart rate. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It also provides relief from runny nose, sneezing, itching, and watery eyes. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends."
217,S Plus Syrup,Syrup,"The most common side effects are headache, palpitations, stomach upset, tremor, muscle cramps, and increased heart rate. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. It also provides relief from runny nose, sneezing, itching, and watery eyes. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. You should keep taking this medicine for as long as your doctor recommends."
218,Alex Plus Paediatric Oral Drops,Drops,"It relieves allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness. This medicine may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver disease. The most common side effects are nausea, vomiting, and headache. You should keep taking this medicine for as long as your doctor recommends. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness."
219,Avil Injection,Injection,"In some cases, it may cause dryness of mouth, so it is advised to drink more water, always carry sugar candy or maintain oral hygiene. Before taking this medicine, let your doctor know if you have glaucoma or have asthma issues or have high blood pressure. If these bother you or appear serious, let your doctor know. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Inform your doctor if you are pregnant, or breastfeeding. Generally, it is advised to avoid alcohol while on treatment.  Your doctor will decide how much you need to improve your symptoms."
220,Azimax 500 Tablet,Tablet,"Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Consult your doctor if you find these side effects worry you or persist for a longer duration. Pregnant or breastfeeding women should consult their doctor before using this medicine."
221,25mg Tablet,Tablet,"To prevent weight gain you can eat a healthy balanced diet, avoid snacking with high calorie foods, and exercise regularly. It may cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming. It may also cause weight gain or weight loss as it can vary from person to person. It alters brain activity, calms it and provides relief from panic attacks by relaxing the nerves. If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better."
222,Avil 50mg Tablet,Tablet,"In some cases, it may cause dryness of mouth, so it is advised to drink more water, always carry sugar candy or maintain oral hygiene. It provides relief from runny nose, sneezing, congestion, itching and watery eyes. Before taking this medicine, let your doctor know if you have glaucoma or have asthma issues or have high blood pressure. If these bother you or appear serious, let your doctor know. In case, you have missed any doses than it is better to take the next dose as soon as you remember it. mg Tablet should be taken with food, but take it at the same time every day to get the most benefit. Inform your doctor if you are pregnant, or breastfeeding."
223,Aztor 40 Tablet,Tablet,"This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke. You can eat normally while taking this medicine, but try to avoid foods that are high in fat.  Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Aztor 40 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice."
224,15mg Tablet,Tablet,"Nausea, vomiting, stomach pain, indigestion, heartburn, loss of appetite and diarrhea are some of the common side effects that might be observed on taking this medicine. Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Tablet is a combination medicine used to relieve pain and swelling in various conditions like muscle pain, joint pain and postoperative pain. Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop. Taking the medicine regularly at the right times increases its effectiveness. Long-term use may lead to serious complications such as stomach bleeding and kidney problems."
225,Atorfit CV 10 Capsule,Capsule,"This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails, using sharp objects, or engaging in contact sports (e.g., football, wrestling). Nausea, abdominal pain, headache, and constipation are some common side effects of this medicine. Before taking this medicine, tell your doctor if you have liver or kidney disease or you are suffering from bleeding disorder. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine. Let your doctor know if you notice yellowing of the skin, muscle pain or dark urine. This medicine reduces the ""bad"" cholesterol (LDL) and triglycerides (fats) levels."
226,Amluck Cream,Cream,"Some of the common side effects include blisters on the skin, nail disorders like nail damage and discoloration, skin irritation, rash, or redness on the site of application. In case of direct contact, wash your eyes with water and seek immediate medical attention. Please consult your doctor if these side effects persist for a longer duration. Avoid direct contact of the cream or ointment with your eyes. Amluck Cream should be used in the dose and duration as advised by your doctor. It is used for treating fungal infections of the affected area. It kills the fungi and helps in treating the infection."
227,Plus Syrup,Syrup,"It relieves allergic symptoms such as sneezing, running nose, watery eyes, itching, swelling, and congestion or stiffness. The most common side effects are nausea, stomach discomfort, insomnia, headache, nervousness, and restlessness. This medicine can also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Before taking it, you should tell your doctor if you have any liver diseases so that your doctor can prescribe a suitable dose for you. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine. Pregnant or breastfeeding women should also consult their doctor before taking this medicine. You should keep taking this medicine for as long as your doctor recommends."
